   10.000000000000000        2.0000000000000000E-003        5001
  -3.6116551541655793       -3.8757907250606127        5.3607619672213502       -17.596930301788660     
  -3.6193854333432740       -3.8545588403553488        5.3250772511503897       -17.351502568097033     
  -3.6270733895270006       -3.8334667493815644        5.2898929220335233       -17.110840577760911     
  -3.6347193003408003       -3.8125125077803634        5.2551992111293799       -16.874825703450114     
  -3.6423234395581221       -3.7916942088442873        5.2209865953889434       -16.643343536681954     
  -3.6498860771761774       -3.7710099825851717        5.1872457870194566       -16.416282888620515     
  -3.6574074794884628       -3.7504579948317573        5.1539677251577487       -16.193534846387081     
  -3.6648879091555044       -3.7300364463492830        5.1211435784237480       -15.974996325773814     
  -3.6723276252738599       -3.7097435719914973        5.0887647209396647       -15.760563909505974     
  -3.6797268834434704       -3.6895776398746527        5.0568227446534664       -15.550139675912787     
  -3.6870859358333585       -3.6695369505721498        5.0253094424634881       -15.343628256836437     
  -3.6944050312457590       -3.6496198363413779        4.9942168006689158       -15.140935616386740     
  -3.7016844151787240       -3.6298246603660989        4.9635370026335224       -14.941972215076758     
  -3.7089243298872234       -3.6101498160221457        4.9332624136866343       -14.746649956709488     
  -3.7161250144428126       -3.5905937261668797        4.9033855815117100       -14.554883825956820     
  -3.7232867047918909       -3.5711548424467443        4.8738992270425108       -14.366590417314027     
  -3.7304096338125996       -3.5518316446235820        4.8447962462949690       -14.181690460857155     
  -3.7374940313703853       -3.5326226399239324        4.8160696929366864       -14.000104242573030     
  -3.7445401243722953       -3.5135263624030966        4.7877127903328542       -13.821757183229977     
  -3.7515481368199977       -3.4945413723279639        4.7597189104520155       -13.646574426040559     
  -3.7585182898616072       -3.4756662555792683        4.7320815818041595       -13.474484528153141     
  -3.7654508018423147       -3.4568996230663895        4.7047944790046259       -13.305417656539476     
  -3.7723458883538727       -3.4382401101622495        4.6778514194434351       -13.139305532483547     
  -3.7792037622829637       -3.4196863761508656        4.6512463633963108       -12.976083041404962     
  -3.7860246338584762       -3.4012371036937772        4.6249733994807585       -12.815684125033755     
  -3.7928087106977388       -3.3828909983053546        4.5990267599771428       -12.658048498259689     
  -3.7995561978516976       -3.3646467878474251        4.5734007926290232       -12.503113322459569     
  -3.8062672978491285       -3.3465032220367785        4.5480899801830788       -12.350820421946906     
  -3.8129422107398447       -3.3284590719611096        4.5230889226255400       -12.201112065124420     
  -3.8195811341369730       -3.3105131296153889        4.4983923380703672       -12.053931852662458     
  -3.8261842632583063       -3.2926642074453394        4.4739950615380053       -11.909225439143967     
  -3.8327517909667543       -3.2749111379044571        4.4498920379609785       -11.766939089774553     
  -3.8392839078099241       -3.2572527730216905        4.4260783254035374       -11.627021900828538     
  -3.8457808020588411       -3.2396879839828863        4.4025490826271607       -11.489422413468731     
  -3.8522426597458557       -3.2222156607213392        4.3792995780833621       -11.354092555038164     
  -3.8586696647017265       -3.2048347115196663        4.3563251743705678       -11.220983253679151     
  -3.8650619985919343       -3.1875440626212281        4.3336213384481681       -11.090048546158471     
  -3.8714198409522114       -3.1703426578499894        4.3111836312004215       -10.961243468443627     
  -3.8777433692233343       -3.1532294582468090        4.2890077019963613       -10.834522334857155     
  -3.8840327587851986       -3.1362034417068418        4.2670892991814036       -10.709843262235452     
  -3.8902881829901617       -3.1192636026292631        4.2454242534240016       -10.587163645769948     
  -3.8965098131957157       -3.1024089515793163        4.2240084828781832       -10.466442018630673     
  -3.9026978187964789       -3.0856385149520271        4.2028379936276394       -10.347639411989462     
  -3.9088523672555238       -3.0689513346504604        4.1819088670846938       -10.230715552506098     
  -3.9149736241350808       -3.0523464677687517        4.1612172723137775       -10.115633719554040     
  -3.9210617531265988       -3.0358229862841313        4.1407594484343946       -10.002355499416637     
  -3.9271169160802173       -3.0193799767563867        4.1205317176107314       -9.8908455870017065     
  -3.9331392730336243       -3.0030165400329878        4.1005304720620472       -9.7810683996613079     
  -3.9391289822403492       -2.9867317909655355        4.0807521770602762       -9.6729892984370736     
  -3.9450862001974865       -2.9705248581288757        4.0611933695977598       -9.5665748656159622     
  -3.9510110816728647       -2.9543948835488720        4.0418506546124888       -9.4617922385964448     
  -3.9569037797316819       -2.9383410224372852        4.0227207045440139       -9.3586094429554123     
  -3.9627644457626139       -2.9223624429324246        4.0038002565023767       -9.2569948650922385     
  -3.9685932295034116       -2.9064583258447962        3.9850861140444671       -9.1569185012296828     
